Account Number,Description,date,DEBIT LBP,Credit LBP,Balance LBP
JV/2023/5,EPE -UPS Maintenance Renewal contract about 2023,1/3/2023,"25,308,000.00",,"25,308,000.00"
JV/2023/5,INV: 00002 GREEN TALK - Maitenance for plants for year 2023,1/3/2023,"30,400,000.00",,"55,708,000.00"
JV/2023/5,Resco - contract 2023 - as per SOA no invoice,1/3/2023,"27,417,000.00",,"83,125,000.00"
JV/2023/14,"PC 104 - Auto khaled - crone rental for elevating of rolling shufter F3",1/25/2023,"5,130,000.00",,"88,255,000.00"
JV/2023/14,PC 104 - maitenance hob at F3,1/25/2023,"950,000.00",,"89,205,000.00"
JV/2023/18,PC 105 - Elie Halabi / Floor Heating F3,2/1/2023,"6,300,000.00",,"95,505,000.00"
JV/2023/18,PC 105 - Time sheet cleaning penthohouse+Elie Halabi / Floor Heating F3,2/1/2023,"1,260,000.00",,"96,765,000.00"
JV/2023/25,INV : 1760 - ,2/21/2023,"9,303,000.00",,"106,068,000.00"
JV/2023/30,Inv : 23/2023Cool Energy plus Repair of hood PCB for 3rd floor appartment,3/10/2023,"7,310,000.00",,"113,378,000.00"
JV/2023/29,INV:84 -97-98-99-100 ALUTAB 76-676917 ,3/10/2023,"479,901,500.00",,"593,279,500.00"
JV/2023/43,pmt cash to Wahib Darwish as per SOA MAK- No doc,4/6/2023,"25,230,000.00",,"618,509,500.00"
JV/2023/107,PC 119 maintenance door handle of dryer F6,8/24/2023,"2,137,500.00",,"620,647,000.00"
JV/2023/120,PC 120 - Auto khaled F1,9/6/2023,"17,527,500.00",,"638,174,500.00"
JV/2023/120,PC 120 Cleaning,9/6/2023,"6,412,500.00",,"644,587,000.00"
JV/2023/123,ETS. JARJOUR - 24 stores enrouleurs manuels + tissus sunscreen,9/8/2023,"265,734,000.00",,"910,321,000.00"
JV/2023/126,Chady tabet Inv: 97 & 98 ,9/11/2023,"828,067,500.00",,"1,738,388,500.00"
JV/2023/126,INV: 275 BK ,9/11/2023,"291,811,500.00",,"2,030,200,000.00"
JV/2023/126,INV: 278 -  kitchenette,9/11/2023,"284,715,000.00",,"2,314,915,000.00"
JV/2023/129,Payment to Youness Ammar from MAK CASH,9/15/2023,"42,750,000.00",,"2,357,665,000.00"
JV/2023/131,INV: 2 Stech ceiling - ,9/18/2023,"17,100,000.00",,"2,374,765,000.00"
JV/2023/135,LEMCO INV: SA 6925,9/21/2023,"18,981,000.00",,"2,393,746,000.00"
JV/2023/135,PC : 121 EWH / F1,9/21/2023,"17,100,000.00",,"2,410,846,000.00"
JV/2023/137,INV : 81 MOHAMAD MADHOUN -,9/28/2023,"35,055,000.00",,"2,445,901,000.00"
JV/2023/139,3593,9/29/2023,"85,072,500.00",,"2,530,973,500.00"
JV/2023/143,INV : 4 Chady Tabet ,10/5/2023,"347,130,000.00",,"2,878,103,500.00"
JV/2023/144,PC 122 silikon pu,10/6/2023,"940,500.00",,"2,879,044,000.00"
JV/2023/156,INV: 1350 SARA - GHROHI,11/16/2023,"17,004,642.00",,"2,896,048,642.00"
JV/2023/161,PC: 126 CRONE RENTAL F1 - REPAIR SHUTTER,11/29/2023,"17,100,000.00",,"2,913,148,642.00"
JV/2023/175,"INV Fres khZEN - Desinesctisation (cafard , mites, fourmis",12/21/2023,"22,375,000.00",,"2,935,523,642.00"